Ingredient_id,Item_id,Ingredient_Name
1,1,Potatoes
2,1,Corn_Tortilla
3,1,Turkey_Sausage
4,1,Vegan_Cheddar_Cheese
5,1,Canola_Oil
6,1,Green_Onion
7,1,Kosher_Salt
8,1,Garlic_Powder
9,1,Black_Pepper
10,2,Water
11,2,Waffle_Mix
12,3,Oat_Milk
13,3,Chia Seeds
14,3,Honey
15,3,Granulated_Sugar
16,3,Pure_Vanilla_Extract
17,4,Cauliflower
18,4,All_Purpose_Flour
19,4,Water
20,4,Mozzarella Cheese
21,4,Blue_Cheese
22,4,Buffalo_Wing_Sauce
23,4,Celery
24,4,Vegetable_Oil_Blend
25,4,Ranch_Dressing
26,4,Kosher_Salt
27,4,Granulated_Sugar
28,4,Yeast
29,5,Dough
30,5,Water
31,5,Yeast
32,5,Cheddar_Cheese
33,5,Whey_Powder
34,5,Guar_Gum
35,5,Xantham_Gum
36,5,Soybean_Oil
37,5,Garlic_Powder
38,5,Datem
39,5,Malted_Barley_Flour
40,5,Dextrose
41,5,Enzyme
42,5,Ascorbic_Acid
43,5,Mozzarella_Cheese
44,5,Vegetable_Oil_Blend
45,5,Asiage_Cheese
46,5,Dried_Oregano
47,5,Black_Pepper
48,6,Chicken_Breast
49,6,Vegetable_Oil_Blend
50,6,Olive_Oil
51,6,Colorant
52,6,Garlic_Powder
53,6,Dried_Oregano
54,6,Black_Pepper
55,7,Water
56,7,Pasta
57,8,Turkey_Burger
58,8,Roll
59,9,French_Fried_Potatoes
60,10,Turkey_Sausage
61,11,Potatoes
62,11,Vegetable_Oil_Blend
63,12,Ice_Cubes
64,12,Strawberries
65,12,Orange_Juice
66,12,Cranberries
67,12,Blueberries
68,12,Granulated_Sugar
69,12,Water
70,13,Water
71,13,Russet_Potato
72,13,Tomatoes
73,13,Corn_Kernels
74,13,Green_Beans
75,13,Carrots
76,13,Celery
77,13,Onion
78,13,Vegetable_Base
79,13,Green_Cabbage
80,13,Vegetable_Oil_Blend
81,13,Garlic
82,13,Kosher_Salt
83,13,Black_Pepper
84,13,Dried_Bay_Leaf
85,13,Dried_Thyme_Leaf
86,14,White_Dinner_Roll
87,15,Ground_Dark_Chicken
88,15,Water
89,15,Soy_Protein
90,15,Corn_Syrup
91,15,Breading
92,16,Water
93,16,Russet_Potato
94,16,Tomatoes
95,16,Corn_Kernels
96,16,Green_Beans
97,16,Carrots
98,16,Celery
99,16,Onion
100,16,Vegetable_Base
101,16,Green_Cabbage
102,16,Vegetable_Oil_Blend
103,16,Garlic
104,16,Kosher_Salt
105,16,Black_Pepper
106,16,Dried_Bay_Leaf
107,17,French_Fried_Potatoes
108,18,Dough
109,18,Mozzarella_Cheese
110,18,Tomatoes
111,18,Deli_Pepperoni
112,18,Water
113,18,Extra_Virgin_Olive_Oil
114,18,Granulated_Sugar
115,18,Kosher_Salt
116,18,Black_Pepper
117,18,Garlic_Powder
118,18,Dried_Oregano
119,19,Red_Potato
120,19,Vegetable_Oil_Blend
121,19,Garlic
122,19,Kosher_Salt
123,19,Black_Pepper
124,20,Cottage_Cheese
125,21,Water
126,21,Soy_Milk
127,21,White_Quinoa
128,21,Apple_Juice
129,21,Brown_Sugar
130,21,Cinnamon
131,21,Kosher_Salt
132,22,Corn_Kernels
133,22,Green_Chili_Peppers
134,22,Onion
135,22,Canola_Oil
136,22,Black_Pepper_Blend
137,22,Cumin
138,22,Kosher_Salt
139,22,Paprika
140,22,Cayenne_Pepper
141,23,Water
142,23,Whole_Milk
143,23,Tomato
144,23,Roasted_Red_Peppers
145,23,Anerican_Cheese
146,23,Cheddar_Cheese
147,23,Cream_Cheese
148,23,Unsalted_Butter
149,23,Wheat_Flour
150,23,Crackers
151,23,Kosher_Salt
152,23,Tabasco_Hot_Sauce
153,23,Ground_Mustard
154,23,Black_Pepper
155,23,Cayenne_Pepper
156,24,Dough
157,24,Mozzarella_Cheese
158,24,Tomatoes
159,24,Deli_Pepperoni
160,24,Water
161,24,Extra_Virgin_Olive_Oil
162,24,Granulated_Sugar
163,24,Kosher_Salt
164,24,Black_Pepper
165,24,Garlic_Powder
166,25,Spinach
167,25,Soy_Sauce
168,25,Granulated_Sugar
